AssetHostname,AssetIP,AssetOS,vuln_total,critical,high,medium,low,max_cvss,last_scan
ecprg17ctx14,10.240.32.142,,80,4,64,4,8,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx15,10.240.32.144,,80,4,64,4,8,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx16,10.240.32.143,,80,4,64,4,8,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx03,10.240.32.137,,80,4,64,4,8,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx05,10.240.32.138,,80,4,64,4,8,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx06,10.240.32.16,,80,4,64,4,8,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx08,10.240.32.139,,80,4,64,4,8,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx11,10.240.32.18,,80,4,64,4,8,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx28,10.240.32.149,,80,4,64,4,8,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx26,10.240.32.26,,80,4,64,4,8,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx21,10.240.32.146,,80,4,64,4,8,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx38,10.240.32.153,,80,4,64,4,8,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx39,10.240.32.154,,80,4,64,4,8,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx30,10.240.32.28,,80,4,64,4,8,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
WinpakSecurity2,192.168.47.11,,64,4,60,0,0,9.9000000000000003552713679,2026-04-09 08:43:52.0624830
ECPRSVH10APP47,10.16.114.80,,49,4,45,0,0,9.9000000000000003552713679,2026-04-09 08:43:52.0624830
ecprsdctx01,10.240.2.76,,53,4,38,8,3,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
Palga_RDS19,10.162.255.69,,24,4,20,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
ECPRSVLWP2,10.240.161.16,,23,4,19,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
ECPRSVLIFELINE,10.240.13.23,,18,4,14,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
ECPRSVA07APP17,10.1.9.67,Microsoft Windows Server 2019 Standard Edition 1809,9,4,4,0,1,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ECPRSVA07APP18,10.1.9.68,Microsoft Windows Server 2019 Standard Edition 1809,9,4,4,0,1,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
Onbekend,89.221.177.204,,8,4,4,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
TS-Hosting,192.168.90.155,,6,4,2,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
z10-mer-dell-esxi01.ram.nl,10.254.39.201,,4,4,0,0,0,9.3000000000000007105427358,2026-04-09 08:43:52.0624830
z10-mer-dell-esxi02.ram.nl,10.254.39.202,,4,4,0,0,0,9.3000000000000007105427358,2026-04-09 08:43:52.0624830
z10-mer-dell-esxi03.ram.nl,10.254.39.203,,4,4,0,0,0,9.3000000000000007105427358,2026-04-09 08:43:52.0624830
a07-vm-app-wp12.internal.asvz.nl,10.89.48.100,,4,4,0,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
a07-vm-app-wt01.internal.asvz.nl,10.89.50.100,,4,4,0,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
ecprg17ctx34,10.240.32.34,,60,3,48,3,6,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx35,10.240.32.152,,60,3,48,3,6,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx36,10.240.32.151,,60,3,48,3,6,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx22,10.240.32.33,,60,3,48,3,6,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx23,10.240.32.147,,60,3,48,3,6,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx25,10.240.32.148,,60,3,48,3,6,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx20,10.240.32.22,,60,3,48,3,6,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx01,10.240.32.12,,60,3,48,3,6,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx09,10.240.32.140,,60,3,48,3,6,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx10,10.240.32.19,,60,3,48,3,6,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx07,10.240.32.17,,60,3,48,3,6,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx04,10.240.32.15,,60,3,48,3,6,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx13,10.240.32.20,,60,3,48,3,6,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx18,10.240.32.145,,60,3,48,3,6,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ECPRSVP07APP7,172.18.128.50,,45,3,42,0,0,9.9000000000000003552713679,2026-04-09 08:43:52.0624830
SMS-gateway,89.221.178.83,,22,3,19,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
z10-vm-sql-wp01,10.254.24.53,,21,3,18,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
z09-vm-lwp-wp01.internal.zahw.nl,10.94.35.40,,14,3,11,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
dz-mgt-wp05,10.0.0.4,,13,3,10,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
networks-linux,192.168.90.147,,12,3,9,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
r22-vm-kwk-lp02-ppd-m9pnl-4jzvc,10.16.141.17,,6,3,3,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
r22-vm-kwk-lp02-ppd-m9pnl-6rg9s,10.16.140.69,,6,3,3,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
r22-vm-kwk-lp02-ppd-m9pnl-rg72m,10.16.140.68,,6,3,3,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
r22-vm-kwk-lp02-ppd-m9pnl-trcwp,10.16.140.71,,6,3,3,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
cscappamd911,192.168.70.42,,6,3,3,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
ECPRSVG17APP13,10.240.33.24,,5,3,2,0,0,9.9000000000000003552713679,2026-04-09 08:43:52.0624830
r22-vm-kcp-lp01-mgt-pdvcr,10.16.140.11,,5,3,2,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
r22-vm-kwk-lp01-mgt-q6dfs-ktml7,10.16.140.20,,5,3,2,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
RAMNL-BU07,192.168.234.10,,5,3,2,0,0,9.9000000000000003552713679,2026-04-09 08:43:52.0624830
Onbekend,192.168.70.25,,5,3,2,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
Cluster1_1.ram.nl,10.172.1.100,,4,3,1,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
BACKUP01.sein.nl,172.18.0.164,,3,3,0,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
Backup-Switch01,192.168.234.200,,3,3,0,0,0,9.0999999999999996447286321,2026-04-09 08:43:52.0624830
Backup-Switch02-CIZ-Kast,192.168.234.199,,3,3,0,0,0,9.0999999999999996447286321,2026-04-09 08:43:52.0624830
Fibre-switch-GK-G620,192.168.234.180,,3,3,0,0,0,9.0999999999999996447286321,2026-04-09 08:43:52.0624830
Fibre-Switch-PPD-G620,192.168.234.90,,3,3,0,0,0,9.0999999999999996447286321,2026-04-09 08:43:52.0624830
Onbekend,192.168.151.99,,3,3,0,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
r11-img-wp-02,10.236.5.77,,3,3,0,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
r11-avd-t-0.internal.reinaerde.nl,10.236.5.12,,3,3,0,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
r11-avd-wp-102,10.236.5.53,,3,3,0,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
r11-avd-wp-112,10.236.5.44,,3,3,0,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
BH_RDS3,89.221.186.85,,62,2,60,0,0,9.5999999999999996447286321,2026-04-09 08:43:52.0624830
BH_RDS1,89.221.186.83,,59,2,57,0,0,9.5999999999999996447286321,2026-04-09 08:43:52.0624830
z10-vm-bhr-wp01,10.254.24.79,,45,2,43,0,0,9.5999999999999996447286321,2026-04-09 08:43:52.0624830
ECPRSVE05UMS1,10.56.4.46,,44,2,42,0,0,9.5999999999999996447286321,2026-04-09 08:43:52.0624830
s14-img-wp-04,10.56.26.79,,48,2,36,8,2,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
M1GKSVDC5,10.240.129.200,,36,2,34,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
M1PRSVDC5,10.240.129.100,,36,2,34,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
ecprg17ctx19,10.240.32.23,,40,2,32,2,4,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx17,10.240.32.21,,40,2,32,2,4,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx29,10.240.32.27,,40,2,32,2,4,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx37,10.240.32.31,,40,2,32,2,4,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx40,10.240.32.32,,40,2,32,2,4,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx31,10.240.32.30,,40,2,32,2,4,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ecprg17ctx32,10.240.32.29,,40,2,32,2,4,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
XASWP015-101004,10.101.4.30,,24,2,22,0,0,9.9000000000000003552713679,2026-04-09 08:43:52.0624830
z10-vm-sql-wt02,10.254.24.153,,22,2,20,0,0,9.5999999999999996447286321,2026-04-09 08:43:52.0624830
z10-vm-app-wa01,10.254.24.186,,20,2,18,0,0,9.5999999999999996447286321,2026-04-09 08:43:52.0624830
ECPRSVE05APP47,10.56.4.49,,20,2,18,0,0,9.5999999999999996447286321,2026-04-09 08:43:52.0624830
ECPRSVG17APP19,10.240.33.30,,20,2,18,0,0,9.5999999999999996447286321,2026-04-09 08:43:52.0624830
ECPRSVRA5,10.240.2.94,,20,2,18,0,0,9.5999999999999996447286321,2026-04-09 08:43:52.0624830
ecpre05ctx51,10.240.2.165,,19,2,16,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx52,10.240.2.161,,19,2,16,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctxb01,10.240.2.145,,19,2,16,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx53,10.240.2.133,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx54,10.240.2.140,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx55,10.240.2.134,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx56,10.240.2.149,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx57,10.240.2.162,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx58,10.240.3.86,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
DZ-mgt-wp01.aadds.dezijlen.nl,10.191.0.11,,15,2,13,0,0,9.9000000000000003552713679,2026-04-09 08:43:52.0624830
ecpre05ctx01,10.240.3.69,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx02,10.240.2.150,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx03,10.240.2.139,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx04,10.240.2.147,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx05,10.240.2.157,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx06,10.240.2.166,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx07,10.240.3.133,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx08,10.240.3.10,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx09,10.240.3.143,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx10,10.240.3.186,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx11,10.240.2.243,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx12,10.240.2.214,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx13,10.240.3.181,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx14,10.240.3.73,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx15,10.240.2.231,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx16,10.240.3.187,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx17,10.240.3.75,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx18,10.240.3.188,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx19,10.240.3.169,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx20,10.240.3.76,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx21,10.240.3.132,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx22,10.240.3.180,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx23,10.240.3.79,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx24,10.240.2.182,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx25,10.240.3.125,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx26,10.240.3.189,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx27,10.240.3.84,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx28,10.240.3.191,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx29,10.240.3.193,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx30,10.240.3.81,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx31,10.240.3.82,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx32,10.240.2.190,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx33,10.240.3.202,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx34,10.240.3.148,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx35,10.240.3.47,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx36,10.240.3.63,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx37,10.240.3.128,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx38,10.240.3.25,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx39,10.240.3.12,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx40,10.240.3.20,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx41,10.240.3.13,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx42,10.240.3.120,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx43,10.240.3.109,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx44,10.240.2.255,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx45,10.240.2.130,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx46,10.240.2.227,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx47,10.240.2.244,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx48,10.240.2.152,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx49,10.240.2.233,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ecpre05ctx50,10.240.2.153,,16,2,13,1,0,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ECPRSVH10APP60,10.16.114.95,,14,2,12,0,0,9.9000000000000003552713679,2026-04-09 08:43:52.0624830
Monitoring-VMW,192.168.226.4,Microsoft Windows Server 2019 Standard Edition 1809,14,2,11,0,1,9.8000000000000007105427358,2026-04-09 18:44:34.4509560
ECPRSVH10APP44,10.16.114.77,,12,2,10,0,0,9.5999999999999996447286321,2026-04-09 08:43:52.0624830
ECPRSVE05TST1,10.56.4.42,,12,2,10,0,0,9.5999999999999996447286321,2026-04-09 08:43:52.0624830
ECPRSVE05APP6,10.240.11.23,,12,2,10,0,0,9.5999999999999996447286321,2026-04-09 08:43:52.0624830
ECPRSVE05PRN1,10.56.4.41,,12,2,10,0,0,9.5999999999999996447286321,2026-04-09 08:43:52.0624830
M1PRCNEX20,10.240.129.120,,12,2,10,0,0,9.5999999999999996447286321,2026-04-09 08:43:52.0624830
K13PRSVMGT1,10.254.50.33,,12,2,10,0,0,9.5999999999999996447286321,2026-04-09 08:43:52.0624830
z10-vm-app-wp10,10.254.24.117,,12,2,10,0,0,9.5999999999999996447286321,2026-04-09 08:43:52.0624830
ECPRSVH10APP12,10.16.114.34,,11,2,9,0,0,10.0000000000000000000000000,2026-04-09 08:43:52.0624830
ECPRSVW04APP2,10.240.21.2,,8,2,6,0,0,10.0000000000000000000000000,2026-04-09 18:44:34.4509560
ECPRSVLIC4,10.240.2.48,,8,2,6,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
DevOpsAgent,10.191.1.102,,7,2,5,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
ecpre05ctxb02,10.240.2.169,,7,2,5,0,0,9.8000000000000007105427358,2026-04-09 08:43:52.0624830
